사아, 57, 140
가다, 91, 141
사바, 40, 167
하바, 86, 186
다차, 73, 191
나나, 93, 160
카마, 97, 157
다바, 62, 149
나라, 94, 176
하파, 57, 187
파나, 88, 163
아다, 60, 156
카아, 72, 143
아가, 42, 166
아카, 58, 147
타자, 86, 163
바나, 68, 196
바나, 99, 195
다차, 81, 181
자자, 79, 180
카파, 75, 198
가바, 55, 181
자다, 48, 167
바하, 70, 186
가자, 91, 197
하다, 79, 194
차파, 45, 170
타타, 54, 189
타하, 48, 146
카나, 81, 179
타나, 42, 174
파가, 49, 188
자차, 90, 198
자타, 58, 162
라라, 40, 152
다하, 71, 142
가가, 57, 180
마라, 83, 170
가차, 58, 166
타나, 44, 181
차바, 81, 147
라라, 51, 168
라가, 69, 169
나나, 90, 149
가나, 58, 183
아아, 88, 192
다마, 75, 179
마타, 57, 169
하다, 71, 147
타카, 60, 175
파마, 57, 175
카바, 64, 159
하하, 50, 168
하가, 56, 141
아차, 49, 146
카아, 98, 194
라타, 58, 199
나라, 96, 196
자아, 98, 176
파나, 90, 191
자바, 62, 186
마다, 62, 178
마하, 83, 196
다파, 50, 149
아파, 61, 147
파마, 67, 161
사나, 71, 189
하파, 82, 153
타가, 78, 145
자자, 43, 167
라나, 96, 173
카파, 78, 168
바타, 42, 179
라카, 92, 183
다사, 69, 177
나아, 78, 145
타파, 46, 147
하마, 77, 185
파자, 88, 196
아카, 88, 175
마아, 40, 142
마라, 88, 154
파자, 63, 199
타차, 86, 151
사가, 84, 192
마가, 69, 167
차라, 79, 195
나라, 88, 150
라자, 42, 150
타파, 48, 157
나하, 84, 181
바파, 44, 156
아라, 64, 157
타마, 52, 144
나바, 55, 192
자하, 61, 161
카라, 92, 161
카아, 96, 155
나나, 43, 168
차아, 54, 190
자가, 80, 174
아카, 92, 183
파타, 87, 190
차나, 40, 184
마바, 58, 184
다마, 42, 157
다라, 44, 162
하다, 81, 176
카나, 58, 181
바다, 66, 154
파하, 49, 197
마자, 98, 193
아라, 91, 176
카자, 42, 161
아라, 76, 192
바파, 50, 174
카파, 89, 198
나마, 59, 177
마아, 65, 188
파타, 45, 190
라자, 55, 166
아타, 49, 192
타하, 96, 199
카타, 47, 182
차마, 78, 155
하라, 62, 169
카가, 40, 182
